Datetime,Consumption
2026-05-02 00:00:00,22.4
2026-05-02 01:00:00,22.3
2026-05-02 02:00:00,23.6
2026-05-02 03:00:00,25.5
2026-05-02 04:00:00,27.7
2026-05-02 05:00:00,30.0
2026-05-02 06:00:00,31.6
2026-05-02 07:00:00,32.8
2026-05-02 08:00:00,33.3
2026-05-02 09:00:00,33.9
2026-05-02 10:00:00,33.5
2026-05-02 11:00:00,33.3
2026-05-02 12:00:00,32.0
2026-05-02 13:00:00,29.9
2026-05-02 14:00:00,28.9
2026-05-02 15:00:00,29.0
2026-05-02 16:00:00,27.3
2026-05-02 17:00:00,26.0
2026-05-02 18:00:00,24.8
2026-05-02 19:00:00,23.8
2026-05-02 20:00:00,23.0
2026-05-02 21:00:00,22.4
2026-05-02 22:00:00,21.9
2026-05-02 23:00:00,21.4
2026-05-03 00:00:00,20.9
2026-05-03 01:00:00,20.9
2026-05-03 02:00:00,22.4
2026-05-03 03:00:00,24.8
2026-05-03 04:00:00,27.4
2026-05-03 05:00:00,29.9
2026-05-03 06:00:00,32.0
2026-05-03 07:00:00,33.8
2026-05-03 08:00:00,34.2
2026-05-03 09:00:00,35.1
2026-05-03 10:00:00,35.0
2026-05-03 11:00:00,34.4
2026-05-03 12:00:00,33.7
2026-05-03 13:00:00,32.2
2026-05-03 14:00:00,30.8
2026-05-03 15:00:00,30.0
2026-05-03 16:00:00,29.1
2026-05-03 17:00:00,28.9
2026-05-03 18:00:00,27.0
2026-05-03 19:00:00,25.6
2026-05-03 20:00:00,24.4
2026-05-03 21:00:00,23.5
2026-05-03 22:00:00,22.8
2026-05-03 23:00:00,22.2
2026-05-04 00:00:00,22.0
2026-05-04 01:00:00,22.0
2026-05-04 02:00:00,23.6
2026-05-04 03:00:00,26.6
2026-05-04 04:00:00,29.5
2026-05-04 05:00:00,31.8
2026-05-04 06:00:00,33.5
2026-05-04 07:00:00,34.7
2026-05-04 08:00:00,34.1
2026-05-04 09:00:00,21.8
2026-05-04 10:00:00,25.9
2026-05-04 11:00:00,29.0
2026-05-04 12:00:00,29.2
2026-05-04 13:00:00,24.9
2026-05-04 14:00:00,23.2
2026-05-04 15:00:00,23.0
2026-05-04 16:00:00,22.8
2026-05-04 17:00:00,22.8
2026-05-04 18:00:00,22.5
2026-05-04 19:00:00,22.4
2026-05-04 20:00:00,22.5
2026-05-04 21:00:00,22.3
2026-05-04 22:00:00,22.2
2026-05-04 23:00:00,22.0
2026-05-05 00:00:00,22.0
2026-05-05 01:00:00,22.1
2026-05-05 02:00:00,22.6
2026-05-05 03:00:00,24.1
2026-05-05 04:00:00,26.0
2026-05-05 05:00:00,28.0
2026-05-05 06:00:00,29.5
2026-05-05 07:00:00,30.8
2026-05-05 08:00:00,31.5
2026-05-05 09:00:00,29.8
2026-05-05 10:00:00,28.5
2026-05-05 11:00:00,28.2
2026-05-05 12:00:00,27.3
2026-05-05 13:00:00,24.3
2026-05-05 14:00:00,20.7
2026-05-05 15:00:00,21.5
2026-05-05 16:00:00,22.2
2026-05-05 17:00:00,22.2
2026-05-05 18:00:00,22.0
2026-05-05 19:00:00,21.9
2026-05-05 20:00:00,21.5
2026-05-05 21:00:00,21.2
2026-05-05 22:00:00,20.9
2026-05-05 23:00:00,20.6
2026-05-06 00:00:00,20.8
2026-05-06 01:00:00,21.5
2026-05-06 02:00:00,22.5
2026-05-06 03:00:00,23.8
2026-05-06 04:00:00,25.5
2026-05-06 05:00:00,27.5
2026-05-06 06:00:00,29.2
2026-05-06 07:00:00,30.6
2026-05-06 08:00:00,31.9
2026-05-06 09:00:00,32.2
2026-05-06 10:00:00,31.0
2026-05-06 11:00:00,29.0
2026-05-06 12:00:00,27.0
2026-05-06 13:00:00,25.1
2026-05-06 14:00:00,23.2
2026-05-06 15:00:00,22.0
2026-05-06 16:00:00,21.6
2026-05-06 17:00:00,22.0
2026-05-06 18:00:00,22.2
2026-05-06 19:00:00,22.1
2026-05-06 20:00:00,22.0
2026-05-06 21:00:00,21.8
2026-05-06 22:00:00,21.6
2026-05-06 23:00:00,21.5
2026-05-07 00:00:00,21.7
2026-05-07 01:00:00,22.4
2026-05-07 02:00:00,23.4
2026-05-07 03:00:00,24.6
2026-05-07 04:00:00,26.0
2026-05-07 05:00:00,27.6
2026-05-07 06:00:00,29.0
2026-05-07 07:00:00,30.0
2026-05-07 08:00:00,30.7
2026-05-07 09:00:00,31.0
2026-05-07 10:00:00,31.0
2026-05-07 11:00:00,30.5
2026-05-07 12:00:00,29.5
2026-05-07 13:00:00,27.5
2026-05-07 14:00:00,25.0
2026-05-07 15:00:00,23.0
2026-05-07 16:00:00,22.2
2026-05-07 17:00:00,22.0
2026-05-07 18:00:00,21.9
2026-05-07 19:00:00,21.6
2026-05-07 20:00:00,21.4
2026-05-07 21:00:00,21.1
2026-05-07 22:00:00,20.0
2026-05-07 23:00:00,20.0
2026-05-08 00:00:00,20.4
2026-05-08 01:00:00,21.2
2026-05-08 02:00:00,22.6
2026-05-08 03:00:00,24.2
2026-05-08 04:00:00,25.9
2026-05-08 05:00:00,27.3
2026-05-08 06:00:00,28.2
2026-05-08 07:00:00,28.7
2026-05-08 08:00:00,28.9
2026-05-08 09:00:00,28.9
2026-05-08 10:00:00,28.6
2026-05-08 11:00:00,28.3
2026-05-08 12:00:00,27.8
2026-05-08 13:00:00,27.0
2026-05-08 14:00:00,26.0
2026-05-08 15:00:00,24.9
2026-05-08 16:00:00,23.6
